Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All: LAG 0,-0.01394258,0.02264564,-0.1941444,0.1803962,0.01514814,0.0026958,0.000698592,0.002709869
Female,-0.007482828,0.024706221,-0.179425,0.1958078,0.01462906,0.002930312,-0.000145493,0.002955375
Male,-0.02177829,0.02605642,-0.2126485,0.2088029,0.01573306,0.003129662,0.001597538,0.003118547
Warm All,0.02865133,0.02058044,1.019076,0.2439133,0.002761153,0.002250549,0.004036973,0.003103072
Warm Female,0.03925597,0.02576056,1.362797,0.3042834,0.001069537,0.002820498,0.005837087,0.003899852
Warm Male,0.01662237,0.02648738,0.6339469,0.3153454,0.004635109,0.002893073,0.00206496,0.003978132
Cold All,-0.02492908,0.02351411,-0.32752714,0.17337772,0.01969091,0.002859911,3.47163E-05,0.002662448
Cold Female,-0.01983543,0.02464228,-0.3494128,0.1812701,0.01934678,0.002974434,-0.001316762,0.002787008
Cold Male,-0.03091814,0.02629775,-0.2999582,0.1944244,0.02005924,0.003241675,0.001615146,0.00298153
Age 0-10 All,-0.01652792,0.03522519,-0.4388245,0.2829988,0.01793864,0.00448861,0.004259282,0.004263831
Age 0-10 Female,-0.03272317,0.03992812,-0.976646194,0.321752065,0.02179407,0.005069608,0.002311703,0.004781184
Age 0-10 Male,-0.003888112,0.038669779,-0.01259517,0.31078883,0.015145922,0.004955941,0.005825328,0.004722141
Age 11-60 All,-0.01414521,0.02314579,-0.06016046,0.18465155,0.01263272,0.002735889,0.000509452,0.002777126
Age 11-60 Female,-0.007639579,0.026028839,0.005636825,0.206399567,0.010818837,0.003076074,-5.96075E-05,0.003131766
Age 11-60 Male,-0.02283058,0.0274042,-0.1472728,0.2202261,0.01476039,0.003253734,0.00108019,0.0032765
Age 60+All,-0.01949284,0.03395635,-0.4061322,0.2655801,0.02445135,0.003941579,-0.003744553,0.00392602
Age 60+ Female,0.01332006,0.03771914,-0.128488,0.2944039,0.02650277,0.00436125,-0.003575024,0.004372802
Age 60+ Male,-0.07041045,0.04207534,-0.83484924,0.33047499,0.02104138,0.004926489,-0.00397842,0.004838078
All: LAG 1,-0.02136731,0.02255162,-0.31358119,0.1788275,0.01423753,0.002704932,-0.0011773,0.002720499
Female,-0.02952909,0.02473493,-0.3101427,0.1947552,0.01464947,0.002956633,-0.003205055,0.00298452
Male,-0.01300333,0.02574884,-0.3207924,0.2057746,0.01375358,0.003109466,0.001012514,0.003105254
Warm All,0.03973061,0.02079492,1.214318,0.2426849,-0.002982284,0.002281245,0.005866112,0.00311898
Warm Female,0.03843974,0.02637322,1.427542,0.3062653,-0.00408884,0.002875501,0.01001489,0.003964354
Warm Male,0.03985987,0.02642383,0.998927451,0.311208743,-0.001987953,0.00291809,0.001534684,0.003958157
Cold All,-0.0380439,0.02335857,-0.489338795,0.171935116,0.0207759,0.002867408,-0.002724184,0.002677908
Cold Female,-0.04532167,0.02459648,-0.485260704,0.180245546,0.02112063,0.003007081,-0.005410924,0.002820325
Cold Male,-0.03029422,0.02591295,-0.498884565,0.191648375,0.02039665,0.00320672,0.000295451,0.002970798
Age 0-10 All,0.002041992,0.034854431,-0.739923281,0.283370889,0.016441336,0.004476124,0.004900062,0.004287602
Age 0-10 Female,-0.01410187,0.03944964,-0.993213531,0.320104402,0.01567954,0.00508245,0.001870197,0.004863101
Age 0-10 Male,0.01331975,0.03801877,-0.54238773,0.30951617,0.017054584,0.004869448,0.007136086,0.004672632
Age 11-60 All,-0.02035677,0.0230514,-0.1624374,0.1828396,0.01176513,0.002747827,-0.001297981,0.002787162
Age 11-60 Female,-0.0323626,0.02610776,-0.2005011,0.2064614,0.01212239,0.003105446,-0.002838895,0.003157799
Age 11-60 Male,-0.006618488,0.02703313,-0.1198123,0.215149,0.011307511,0.003240271,0.000476983,0.00326722
Age 60+All,-0.06581823,0.03392638,-0.3951786,0.2582891,0.02374515,0.003894877,-0.009014693,0.003934629
Age 60+ Female,-0.03146357,0.03752808,-0.04756816,0.28001257,0.02562358,0.004334652,-0.010013466,0.004398154
Age 60+ Male,-0.120267798,0.042199367,-0.97660137,0.332322239,0.02107266,0.004823248,-0.007769939,0.004817827
All: LAG2,-0.009244911,0.022607068,-0.237074,0.1799373,0.01288608,0.002719689,-0.000672305,0.002749767
Female,-0.02147413,0.02481987,-0.2218664,0.1956754,0.01219914,0.002964654,-0.00217752,0.003007379
Male,0.004429667,0.02572818,-0.2522145,0.206924,0.01363755,0.003130064,0.001050418,0.003142453
Warm All,0.05189343,0.02096871,1.457432,0.2373896,-0.009433727,0.002299759,0.006716768,0.003195293
Warm Female,0.06035894,0.02659765,1.670852,0.3033578,-0.009369068,0.002898471,0.010706553,0.004028525
Warm Male,0.04263269,0.02669892,1.244069,0.3010284,-0.009401474,0.002953767,0.002588897,0.004097974
Cold All,-0.02466226,0.0233686,-0.4430194,0.17310814,0.02140963,0.00287154,-0.00213922,0.002697098
Cold Female,-0.03962296,0.02462907,-0.43371935,0.18121329,0.02022458,0.003005101,-0.004300308,0.002835558
Cold Male,-0.007530425,0.025818143,-0.45166149,0.19261852,0.02273025,0.003214349,0.000350706,0.002988541
Age 0-10 All,0.01620122,0.03446907,-0.61483129,0.281213,0.014372434,0.004456547,0.002027334,0.004323648
Age 0-10 Female,-0.03992021,0.03954042,-1.021573867,0.318932643,0.010130303,0.005013935,-0.003228345,0.004921455
Age 0-10 Male,0.05801401,0.0372266,-0.2953907,0.306732,0.017658366,0.004892033,0.006048172,0.004698321
Age 11-60 All,-0.00273692,0.02308351,-0.06767791,0.1836628,0.01165181,0.002767219,2.99652E-05,0.00281039
Age 11-60 Female,-0.003893902,0.026116247,0.004741776,0.205939539,0.011676552,0.003126436,-0.000547628,0.003172877
Age 11-60 Male,-0.001171417,0.027054561,-0.1517716,0.2175209,0.011572716,0.003258058,0.000733132,0.003301493
Age 60+All,-0.09502717,0.03445972,-0.56963066,0.26335515,0.01752211,0.003886534,-0.008312551,0.003965941
Age 60+ Female,-0.09219069,0.03830883,-0.4672889,0.2937174,0.017253964,0.004309043,-0.008673202,0.004444413
Age 60+ Male,-0.09567368,0.04281296,-0.69040071,0.32455872,0.018226377,0.004852354,-0.00729947,0.00485815
All: LAG 3,-0.04843214,0.02282211,-0.38441946,0.1796197,0.0107429,0.00270472,-0.003887106,0.002752024
Female,-0.04519305,0.02497451,-0.3156002,0.1952627,0.010152987,0.002939837,-0.005122278,0.003005787
Male,-0.05212369,0.02608191,-0.46293876,0.20676292,0.011433623,0.003122189,-0.002519254,0.003150066
Warm All,-0.02305913,0.02130919,0.4056375,0.24140665,-0.003648195,0.002296868,-0.004306725,0.00322315
