Strata,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI,BETA,SEBeta,RR,Low95$CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.1,,,O3,,IQR=12.8,,,PM2.5,,IQR=6.5,,
All: LAG 0,-0.01394258,0.02264564,0.986154168,0.943340449,1.030911,-0.1941444,0.1803962,0.980772807,0.946700881,1.016071,0.01514814,0.0026958,1.213970257,1.134581615,1.298914,0.000698592,0.002709869,1.004551173,0.970462145,1.039838
Female,-0.007482828,0.024706221,0.992545099,0.945627055,1.041791,-0.179425,0.1958078,0.982217508,0.945235828,1.020646,0.01462906,0.002930312,1.205931103,1.120456622,1.297926,-0.000145493,0.002955375,0.999054743,0.962138198,1.037388
Male,-0.02177829,0.02605642,0.978457145,0.929741328,1.029726,-0.2126485,0.2088029,0.978959653,0.939704121,1.019855,0.01573306,0.003129662,1.223093332,1.130733127,1.322998,0.001597538,0.003118547,1.010438098,0.971080129,1.051391
Warm All,0.02865133,0.02058044,1.029065728,0.988381688,1.071424,1.019076,0.2439133,1.107281154,1.055590782,1.161503,0.002761153,0.002250549,1.035974737,0.97910243,1.096151,0.004036973,0.003103072,1.026587633,0.986795146,1.067985
Warm Female,0.03925597,0.02576056,1.040036668,0.988828146,1.093897,1.362797,0.3042834,1.146002386,1.079653497,1.216429,0.001069537,0.002820498,1.013784212,0.944527402,1.088119,0.005837087,0.003899852,1.038670018,0.988325632,1.091579
Warm Male,0.01662237,0.02648738,1.01676129,0.965322637,1.070941,0.6339469,0.3153454,1.065447278,1.001588252,1.133378,0.004635109,0.002893073,1.061124713,0.986835401,1.141007,0.00206496,0.003978132,1.013512723,0.96342642,1.066203
Cold All,-0.02492908,0.02351411,0.975379083,0.931446304,1.021384,-0.32752714,0.17337772,0.967777848,0.935443297,1.001230,0.01969091,0.002859911,1.286652196,1.197569637,1.382361,3.47E-05,0.002662448,1.000225681,0.966867387,1.034735
Cold Female,-0.01983543,0.02464228,0.980359998,0.934135012,1.028872,-0.3494128,0.1812701,0.965662118,0.931955493,1.000588,0.01934678,0.002974434,1.280997132,1.188885346,1.380246,-0.001316762,0.002787008,0.991477571,0.956891341,1.027314
Cold Male,-0.03091814,0.02629775,0.969554938,0.920846678,1.020840,-0.2999582,0.1944244,0.97044959,0.934164247,1.008144,0.02005924,0.003241675,1.292732599,1.191759909,1.402260,0.001615146,0.00298153,1.010553751,0.972888066,1.049678
Age 0-10 All,-0.01652792,0.03522519,0.983607917,0.917989531,1.053917,-0.4388245,0.2829988,0.957066454,0.905425559,1.011653,0.01793864,0.00448861,1.258115029,1.124124313,1.408077,0.004259282,0.004263831,1.028072133,0.973715732,1.085463
Age 0-10 Female,-0.03272317,0.03992812,0.96780644,0.894954603,1.046589,-0.976646194,0.321752065,0.906953027,0.851523633,0.965991,0.02179407,0.005069608,1.321759887,1.163901554,1.501028,0.002311703,0.004781184,1.015139528,0.955150638,1.078896
Age 0-10 Male,-0.003888112,0.038669779,0.996119437,0.923410979,1.074553,-0.01259517,0.31078883,0.998741276,0.939719241,1.061470,0.015145922,0.004955941,1.213935792,1.072007602,1.374655,0.005825328,0.004722141,1.038590631,0.977951262,1.102990
Age 11-60 All,-0.01414521,0.02314579,0.985954363,0.942225208,1.031713,-0.06016046,0.18465155,0.994002014,0.958670596,1.030636,0.01263272,0.002735889,1.175506144,1.097528499,1.259024,0.000509452,0.002777126,1.003316927,0.968439615,1.039450
Age 11-60 Female,-0.007639579,0.026028839,0.992389528,0.943031019,1.044331,0.005636825,0.206399567,1.000563841,0.960894524,1.041871,0.010818837,0.003076074,1.14852799,1.063226943,1.240673,-5.96E-05,0.003131766,0.999612626,0.960514551,1.040302
